<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.ATVI,0,20200505,094059,67.290000000,200
US1.ATVI,0,20200505,094059,67.290000000,100
US1.ATVI,0,20200505,094059,67.290000000,100
US1.ATVI,0,20200505,094059,67.290000000,100
US1.ATVI,0,20200505,094103,67.270000000,100
US1.ATVI,0,20200505,094103,67.270000000,100
US1.ATVI,0,20200505,094107,67.270000000,100
US1.ATVI,0,20200505,094108,67.240000000,100
US1.ATVI,0,20200505,094112,67.240000000,200
US1.ATVI,0,20200505,094112,67.240000000,100
US1.ATVI,0,20200505,094112,67.220000000,270
US1.ATVI,0,20200505,094113,67.210000000,200
US1.ATVI,0,20200505,094113,67.230000000,200
US1.ATVI,0,20200505,094113,67.230000000,100
US1.ATVI,0,20200505,094113,67.240000000,100
US1.ATVI,0,20200505,094113,67.250000000,100
US1.ATVI,0,20200505,094115,67.240000000,196
US1.ATVI,0,20200505,094115,67.240000000,100
US1.ATVI,0,20200505,094115,67.260000000,100
US1.ATVI,0,20200505,094115,67.260000000,100
US1.ATVI,0,20200505,094115,67.250000000,100
US1.ATVI,0,20200505,094115,67.250000000,100
US1.ATVI,0,20200505,094115,67.240000000,100
US1.ATVI,0,20200505,094124,67.210000000,200
US1.ATVI,0,20200505,094125,67.200000000,100
US1.ATVI,0,20200505,094125,67.190000000,100
US1.ATVI,0,20200505,094125,67.190000000,100
US1.ATVI,0,20200505,094125,67.180000000,100
US1.ATVI,0,20200505,094125,67.150000000,160
US1.ATVI,0,20200505,094125,67.140000000,200
US1.ATVI,0,20200505,094125,67.130000000,100
US1.ATVI,0,20200505,094125,67.130000000,100
US1.ATVI,0,20200505,094127,67.090000000,100
US1.ATVI,0,20200505,094128,67.090000000,100
US1.ATVI,0,20200505,094128,67.070000000,148
US1.ATVI,0,20200505,094130,67.050000000,200
US1.ATVI,0,20200505,094132,67.070000000,100
US1.ATVI,0,20200505,094132,67.070000000,100
US1.ATVI,0,20200505,094133,67.080000000,100
US1.ATVI,0,20200505,094134,67.160000000,100
US1.ATVI,0,20200505,094134,67.160000000,100
US1.ATVI,0,20200505,094140,67.110000000,100
US1.ATVI,0,20200505,094140,67.110000000,100
US1.ATVI,0,20200505,094140,67.110000000,100
US1.ATVI,0,20200505,094140,67.110000000,100
US1.ATVI,0,20200505,094141,67.110000000,195
US1.ATVI,0,20200505,094141,67.110000000,100
US1.ATVI,0,20200505,094141,67.120000000,100
US1.ATVI,0,20200505,094141,67.120000000,100
US1.ATVI,0,20200505,094141,67.120000000,100
US1.ATVI,0,20200505,094141,67.130000000,100
US1.ATVI,0,20200505,094141,67.130000000,200
US1.ATVI,0,20200505,094141,67.140000000,200
US1.ATVI,0,20200505,094142,67.140000000,200
US1.ATVI,0,20200505,094147,67.180000000,100
US1.ATVI,0,20200505,094147,67.210000000,100
US1.ATVI,0,20200505,094147,67.210000000,100
US1.ATVI,0,20200505,094147,67.190000000,200
US1.ATVI,0,20200505,094147,67.190000000,100
US1.ATVI,0,20200505,094147,67.190000000,100
US1.ATVI,0,20200505,094147,67.190000000,100
US1.ATVI,0,20200505,094147,67.190000000,200
US1.ATVI,0,20200505,094147,67.190000000,100
US1.ATVI,0,20200505,094147,67.180000000,100
US1.ATVI,0,20200505,094152,67.150000000,100
US1.ATVI,0,20200505,094152,67.150000000,100
US1.ATVI,0,20200505,094152,67.160000000,100
US1.ATVI,0,20200505,094152,67.160000000,100
US1.ATVI,0,20200505,094152,67.170000000,100
US1.ATVI,0,20200505,094152,67.170000000,100
US1.ATVI,0,20200505,094155,67.180000000,100
US1.ATVI,0,20200505,094158,67.170000000,100
US1.ATVI,0,20200505,094159,67.180000000,100
US1.ATVI,0,20200505,094159,67.190000000,200
US1.ATVI,0,20200505,094159,67.190000000,100
US1.ATVI,0,20200505,094159,67.190000000,200
US1.ATVI,0,20200505,094203,67.190000000,100
US1.ATVI,0,20200505,094206,67.180000000,200
US1.ATVI,0,20200505,094207,67.170000000,300
US1.ATVI,0,20200505,094209,67.200000000,100
US1.ATVI,0,20200505,094213,67.200000000,100
US1.ATVI,0,20200505,094217,67.230000000,100
US1.ATVI,0,20200505,094217,67.230000000,100
US1.ATVI,0,20200505,094217,67.220000000,100
US1.ATVI,0,20200505,094217,67.190000000,100
US1.ATVI,0,20200505,094219,67.160000000,100
US1.ATVI,0,20200505,094219,67.150000000,100
US1.ATVI,0,20200505,094221,67.170000000,100
US1.ATVI,0,20200505,094223,67.165000000,100
US1.ATVI,0,20200505,094224,67.160000000,100
US1.ATVI,0,20200505,094224,67.160000000,100
US1.ATVI,0,20200505,094225,67.160000000,100
US1.ATVI,0,20200505,094228,67.140000000,100
US1.ATVI,0,20200505,094228,67.145000000,100
US1.ATVI,0,20200505,094234,67.170000000,100
US1.ATVI,0,20200505,094239,67.150000000,200
US1.ATVI,0,20200505,094239,67.150000000,100
US1.ATVI,0,20200505,094239,67.150000000,100
US1.ATVI,0,20200505,094239,67.170000000,100
US1.ATVI,0,20200505,094242,67.180000000,100
US1.ATVI,0,20200505,094243,67.200000000,2010
US1.ATVI,0,20200505,094246,67.260000000,100
US1.ATVI,0,20200505,094247,67.270000000,200
US1.ATVI,0,20200505,094249,67.260000000,200
US1.ATVI,0,20200505,094249,67.260000000,200
US1.ATVI,0,20200505,094249,67.260000000,100
US1.ATVI,0,20200505,094251,67.260000000,100
US1.ATVI,0,20200505,094252,67.270000000,146
US1.ATVI,0,20200505,094254,67.250000000,100
US1.ATVI,0,20200505,094254,67.250000000,100
US1.ATVI,0,20200505,094300,67.260000000,100
US1.ATVI,0,20200505,094304,67.270000000,100
US1.ATVI,0,20200505,094307,67.260000000,100
US1.ATVI,0,20200505,094307,67.260000000,100
US1.ATVI,0,20200505,094307,67.260000000,100
US1.ATVI,0,20200505,094311,67.270000000,200
US1.ATVI,0,20200505,094312,67.260000000,100
US1.ATVI,0,20200505,094315,67.270000000,100
US1.ATVI,0,20200505,094315,67.270000000,100
US1.ATVI,0,20200505,094315,67.270000000,100
US1.ATVI,0,20200505,094328,67.300000000,200
US1.ATVI,0,20200505,094328,67.300000000,100
US1.ATVI,0,20200505,094328,67.300000000,100
US1.ATVI,0,20200505,094328,67.300000000,100
US1.ATVI,0,20200505,094328,67.300000000,100
US1.ATVI,0,20200505,094329,67.310000000,100
US1.ATVI,0,20200505,094332,67.290000000,100
US1.ATVI,0,20200505,094335,67.270000000,100
US1.ATVI,0,20200505,094411,67.280000000,100
US1.ATVI,0,20200505,094411,67.280000000,300
US1.ATVI,0,20200505,094414,67.290000000,100
US1.ATVI,0,20200505,094425,67.300000000,100
US1.ATVI,0,20200505,094425,67.310000000,100
US1.ATVI,0,20200505,094431,67.305000000,100
US1.ATVI,0,20200505,094431,67.310000000,200
US1.ATVI,0,20200505,094447,67.350000000,100
US1.ATVI,0,20200505,094459,67.380000000,100
US1.ATVI,0,20200505,094459,67.380000000,100
US1.ATVI,0,20200505,094500,67.350000000,100
US1.ATVI,0,20200505,094500,67.340000000,100
